,Date,Invoice Type,Buyer,Saller,Products,Total_amount
127,23-Jan-23,Sales,Null,B M Infotrade Private Limited ,"67 Marine Open Policy

1 |HP Z9M01A Trays 2xRoller-3 Roller Pack 84439959 18% 2 no. 454.00 | no. 908.00

2 |HP Z8W51A ADF Separation Rollr Kit 84439959 18% 2 no. 454.00 | no. 908.00

3 |HP Z8W50A ADF Pick Roller Kit 84439959 18% 2 no. 454.00 | no. 908.00

4 |HP Z7Y88A MP Roller-3 Roller Pack 84439959 18% 2 no. 454.00 | no. 908.00

0 | 9% 326.88 9% 326.88 653.76 |","4,285.76"
128,21.11.22,Purchase, For Redington India Limited,Redington India Limited,"Item Code [Description HSN/SAC] QTY Weight Per unit SGST CGST IGST Total

Item Code [Description HSN/SAC] QTY Weight Per unit SGST CGST IGST Total","68,385.38"
129,21.09.2021,Purchase,B M INFOTRADE PVT LTD,Redington (India) Limited,"ITEM CODE/ITEM HSN/SAC QUANTITY | UNIT PRICE | SGST/UGST CGST IGST TOTAL WEIGHT

DESCRIPTION
HPSPBL3500 F9KO1A-HP 745 | 844399 1.000 5,973.00 537.57 537.57 5,973.00 0.520
300-ml Magenta Ink Crtg EAI 9.00 9.00 7,048.14
F9KOIA
HPSPBL3524 F9KO2A-HP 745 | 844399 1.000 5,973.00 537.57 537.57 5,973.00 0.700

5 | 844399 1.000 5,973.00 537.57 537.57 5,973.00 0.050

5 | 844399 1.000 5,973.00 537.57 537.57 5,973.00 0.500

5 | 844399 1.000 5,973.00 537.57 537.57 5,973.00 0.700

4 | 844399 1.000 4,310.00 387.90 387.90 4,310.00 0.090

4 | 844399 1.000 4,310.00 387.90 387.90 4,310.00 0.100

ITEM CODE/ITEM HSN/SAC | QUANTITY | UNIT PRICE | SGST/UGST CGST IGST TOTAL WEIGHT

DESCRIPTION
HPSPBL3499 F9J88A-HP 744 | 844399 1.000 4,310.00 387.90 387.90 4,310.00 0.700
Mat Blk and Chrmte Red Pri EAI 9.00 9.00 5,085.80
FOJ88A
HPSPBL7633 3WXO08A-HP 72B | 844399 2.000 3,793.00 682.74 682.74 7,586.00 1.400

Supply of notified scientific and technical equipment to public funded research institutijons in terms of Nptification 47/2017 (IGST) / Notifitation 45/2017 (CGST) and","59,449.58"
130,12.10.2021,Purchase,B M INFOTRADE PVT LTD,Redington (India) Limited,"ITEM CODE/ITEM HSN/SAC QUANTITY | UNIT PRICE | SGST/UGST CGST IGST TOTAL WEIGHT

DESCRIPTION
ORCS000094 998313 1.000 192,167.75 17,295.10 17,295.10 192,167.75 0.010
CL_ORACLE_PAAS_AND_IAA| EAI 9.00 9.00 226,757.95
S_UNIVERSAL_CREDIT
B88206

research institutions in terms of Nptification 47/20]7 (IGST) / Notifitation 45/2017 (CGST) and","226,757.95"
131,29.10.2021,Purchase,vator Phyto Lab Pvt. Ltd,Redington (India) Limited,"ITEM CODE/ITEM HSN/SAC | QUANTITY | UNIT PRICE | SGST/UGST CGST IGST TOTAL WEIGHT

DESCRIPTION
CBRM900757 XTID3CTES | 997331 1.000 51,000.00 4,590.00 4,590.00 51,000.00 0.001
ELICENSE EA 9.00 9.00 60,180.00
XTID3CTES
Vol Wt 0.000","60,180.00"
132,22.11.2021,Purchase,B M INFOTRADE PVT LTD,Redington (India) Limited,"ITEM CODE/ITEM HSN/SAC QUANTITY | UNIT PRICE | SGST/UGST CGST IGST TOTAL WEIGHT

DESCRIPTION
IBST004373 IBM 847170 1.000 1,166,642.97 104,997.87 104,997.87 1,166,642.97 1.000
FLASHSYSTEM 5200 NVME EAI 9.00 9.00 1,376,638.71
STORAGE
4662-6H2

ITEM CODE/ITEM HSN/SAC QUANTITY | UNIT PRICE | SGST/UGST CGST IGST TOTAL WEIGHT

DESCRIPTION
IBST004379 IBM STORAGE 851769 1.000 637,036.29 57,333.27 57,333.27 637,036.29 17.650
NETWORKING SAN24B-6 EA 9.00 9.00 751,702.83
SWITCH ,
8960-F24.","8,957,086.18"
133,13.12.2021,Purchase,B M INFOTRADE PVT LTD,Redington (India) Limited,"ITEM CODE/ITEM HSN/SAC QUANTITY | UNIT PRICE | SGST/UGST CGST IGST TOTAL WEIGHT

DESCRIPTION
HPSPBL7632 3WX07A-HP 72B | 844399 7.000 3,793.00 2,389.59 2,389.59 26,551.00 4.900
130ml Photo Black Ink Crtg EAI 9.00 9.00 31,330.18
3WX07A
HPSPBL7631 3WX06A-HP 72B | 844399 16.000 3,793.00 5,461.92 5,461.92 60,688.00 32.000","134,272.20"
134,16.06.2022,Purchase,B M INFOTRADE PVT LTD,Redington (India) Limited,"DESCRIPTION
HPSPBK2154 CF237A-Toner | 84439959 2.000 10,358.00 1,864.44 1,864.44 20,716.00 4.000
HPLIM609 A4SF Black EA 9.00 9.00 24,444.88
CF237A
100537748488, 100537748499,","24,444.88"
135,20.06.2022,Purchase,B M INFOTRADE PVT LTD,Redington (India) Limited,"DESCRIPTION

HSN/SAC

QUANTITY | UNIT PRICE

SGST/UGST CGST","22,752.76"
136,20.06.2022,Purchase,B M INFOTRADE PVT LTD,Redington (India) Limited,"DESCRIPTION

HSN/SAC

QUANTITY | UNIT PRICE | SGST/UGST

CGST","26,082.72"
137,20.06.2022,Purchase,B M INFOTRADE PVT LTD,Redington (India) Limited,"DESCRIPTION

HSN/SAC

QUANTITY

UNIT PRICE | SGST/UGST CGST","6,015.64"
138,20.06.2022,Purchase,B M INFOTRADE PVT LTD,Redington (India) Limited,"DESCRIPTION

HSN/SAC

QUANTITY

UNIT PRICE | SGST/UGST CGST","6,015.64"
139,22.06.2022,Purchase,B M INFOTRADE PVT LTD,Redington (India) Limited,"ITEM CODE/ITEM HSN/SAC_ | QUANTITY | UNIT PRICE | SGST/UGST | _ CGST IGST TOTAL WEIGHT

DESCRIPTION
HPSPBK2051 Q2612XC-Toner_| 844399 20.000 4,418.00 7,952.40 7,952.40 88,360.00 18.000
HPLJ1000/3000 Cont Bik EAI 9.00 9.00 104.264.80
Q2612XC ,
100497371923,100497371936, 109497371937, 10047371942, 100497371967, 100497342018, 10049737221 ,100497372042, 100497372089] 100497736081,100497736111,","104,264.80"
140,22.06.2022,Purchase,B M INFOTRADE PVT LTD,Redington (India) Limited,"0 | 2eefab2917b13492eb3dbed88ad

ITEM CODE/ITEM HSN/SAC | QUANTITY | UNIT PRICE | SGST/UGST CGST IGST TOTAL WEIGHT

DESCRIPTION
HPSPBK4263 CF277A - TONER| 844399 4.000 6,206.00 2,234.16 2,234.16 24,824.00 5.600
HP 77A BLK LJ CRTG EA 9.00 9.00 29,292.32
CF277A
100580915688, 100580918280, 109580918283, 100580919242,","29,292.32"
141,22.06.2022,Purchase,B M INFOTRADE PVT LTD,Redington (India) Limited,"ITEM CODE/ITEM HSN/SAC | QUANTITY | UNIT PRICE | SGST/UGST CGST IGST TOTAL WEIGHT

DESCRIPTION
HPSPBK0455 Q7553A-Toner HP| 844399 2.000 6,091.00 1,096.38 1,096.38 12,182.00 2.000
LJP2015 Black Crtg EA 9.00 9.00 14,374.76
Q7553A
100557021120,100557021134,","29,884.68"
142,24.06.2022,Purchase,B M INFOTRADE PVT LTD,Redington (India) Limited,"DESCRIPTION

HSN/SAC

QUANTITY

SGST/UGST CGST","14,446.74"
143,24.06.2022,Purchase,B M INFOTRADE PVT LTD,Redington (India) Limited,"DESCRIPTION

HSN/SAC

QUANTITY

UNIT PRICE | SGST/UGST CGST","15,509.92"
144,30.06.2022,Purchase,B M INFOTRADE PVT LTD,Redington (India) Limited,"DESCRIPTION

HSN/SAC

QUANTITY | UNIT PRICE

SGST/UGST CGST","5,484.64"
145,30.06.2022,Purchase,B M INFOTRADE PVT LTD,Redington (India) Limited,"9 | fa7eb924fd6873bfd9604769 Seaadf03dc99cff

ITEM CODE/ITEM HSN/SAC QUANTITY | UNIT PRICE | SGST/UGST CGST IGST TOTAL WEIGHT

DESCRIPTION
HPSPBK6521 3JA84AA -HP 844399 1.000 2,711.00 243.99 243.99 2,711.00 0.050
965XL BLACK ORIG INK EAI 9.00 9.00 3,198.98
CART
3JA84AA

9 | fa7eb924fd6873bfd9604769 Seaadf03dc99cff","8,178.58"
146,01.07.2022,Purchase,B M INFOTRADE PVT LTD,Redington (India) Limited,"DESCRIPTION

HSN/SAC

QUANTITY | UNIT PRICE

CGST IGST TOTAL WEIGHT","2,489.80"
147,05.07.2022,Purchase,B M INFOTRADE PVT LTD,Redington (India) Limited,"DESCRIPTION

HSN/SAC

QUANTITY

UNIT PRICE | SGST/UGST CGST","5,484.64"
148,07.07.2022,Purchase,B M INFOTRADE PVT LTD,Redington (India) Limited,"DESCRIPTION

HSN/SAC

QUANTITY | UNIT PRICE

SGST/UGST CGST","7,321.90"
149,08.07.2022,Purchase,B M INFOTRADE PVT LTD,Redington (India) Limited,"ITEM CODE/ITEM HSN/SAC QUANTITY | UNIT PRICE | SGST/UGST CGST IGST TOTAL WEIGHT

DESCRIPTION
HPSPBK2510 CF510A-Toner 844399 2.000 3,020.00 538.17 538.17 5,979.60 1.300
HP204A MIS4A/NW BlackLI | pigc 60.40- EA 9.00 9.00 7,055.94
CFS510A
100564198358,100564198437,","18,650.31"
